id,source_work_id,target_work_id,evidence,evidenceSource,note,reviewStatus,createdAt,updatedAt,deletedAt
01a0155e-33a7-772a-8efc-4ad2766bc830,01a013e8-907f-7396-b9b5-d56024e84548,01a013eb-4664-715c-a68f-acb1ce46e342,梭罗的《瓦尔登湖》。（克里斯从来没听过这本书，但我可以读上一百次也不觉得累。通常我会选一本他不懂的书，以备对答之用，我先读一两个句子，然后等他一连串地发问，然后回答他的问题，之后再读一两个句子。,chapter4,,reviewed,2026-08-18T08:50:43+00:00,2026-08-18T13:14:25+00:00,
01a0155e-33a7-772a-8efc-4ad36d3753f1,01a013e8-907f-7396-b9b5-d56024e84548,01a013f1-545e-7562-bc38-7692ef32b09c,这本书提到，西方文化主要从理论角度理解人的存在（这就呼应了斐德洛过去在实验室当中的经验），东方文化则从美感的角度理解人的存在（这呼应了斐德洛在韩国的经验），而这两者似乎不曾碰过面。书中提到的理论和美感与斐德洛后来称为古典和浪漫的用法相当，并且似乎暗暗影响了斐德洛日后使用那两个词。两者主要的差异在于，古典的现实主要是理论的，但是也有它自己的美学，而浪漫的现实主要是审美的，但是也有它自己的理论。理论的和审美的是同一个世界的不同组成成分之间的对立，而古典的和浪漫的则是两个不同世界的对立。,chapter11,"这本哲学书的名字叫《当东方遇到西方》(The Meeting of East and West),F.S.C.诺斯罗普著，书中重视对于“不二的审美整体(undifferentiated aesthetic continuum)”的认识，认为理论应建立在对“不二的审美整体”的觉悟之上。",reviewed,2026-08-18T08:50:43+00:00,2026-08-18T13:14:25+00:00,
01a0155e-33a7-772a-8efc-4ad47cbc2e9f,01a013eb-4664-715c-a68f-acb1ce46e342,01a013f1-545e-7562-bc38-7693325b8d93,如今谎言与幻觉被捧为至高的真理，现实反倒变得荒唐。其实人们只要始终认清现实，不让自己受欺骗，那么生活将会变得像童话般美好，就像《一千零一夜》那样。如果我们只推崇自然的、高尚的事物，音乐和诗歌将会响彻大街小巷。,章节：居所和生活的目标,,reviewed,2026-08-18T08:50:43+00:00,2026-08-18T13:14:25+00:00,
01a01570-a020-7285-8fba-4c4b4dbaece4,01a013e8-907f-7396-b9b5-d54f87c9321b,01a0156e-bb69-75d8-9889-54907fe1596f,当马孔多在《圣经》所载那种龙卷风的怒号中化作可怕的瓦砾与尘埃旋涡时，奥雷里亚诺为避免在熟知的事情上浪费时间又跳过十一页，开始破译他正度过的这一刻，译出的内容恰是他当下的经历，预言他正在破解羊皮卷的最后一页，宛如他正在会言语的镜中照影。,Chapter20,,reviewed,2026-08-18T16:44:56+00:00,2026-08-18T16:44:56+00:00,
01a01577-9319-756d-acef-f5c047325f18,01a013eb-4664-715c-a68f-acb1ce46e342,01a0156e-bb69-75d8-9889-54907fe1596f,我曾在《圣经》上读到陶匠的黏土和转轮，却从未想到我们日常所用的器皿，并不是从那个年代完好无损地流传下来的，也不是像葫芦那样挂在树上的，我很高兴听到我住的地方附近曾经有人实践过这门制陶的艺术。,章节：原先的居民和冬天的访客,,reviewed,2026-08-18T16:44:56+00:00,2026-08-18T16:44:56+00:00,
01a0159b-36db-72a1-a58b-863470f168c6,01a013e8-907f-7396-b9b5-d538a2a9bf38,01a0156e-bb69-75d8-9889-54907fe1596f,谈话转到新艺术流派和一位法国画家新近给《圣经》作的插图上。伏尔古耶夫非难那位画家把现实主义发展到俗不可耐的地步。列文说，法国人在艺术上总是最墨守成规，因此他们认为回到现实主义就是做了特殊贡献；他们认为不撒谎就是诗。,Chapter10,,reviewed,2026-08-18T16:44:56+00:00,2026-08-18T16:44:56+00:00,
01a0159e-2854-749c-9b84-9c6cac0e90f1,01a013e8-907e-77f3-83c6-bcead27e01ac,01a0156e-bb69-75d8-9889-54907fe1596f,帕纳鲁拒绝用那些陈词滥调来为自己解脱。他本可以轻易用圣经解释，说天国的喜乐会补偿孩子的痛苦，但他没有。他坦白自己也并不知道。谁能肯定，永恒的幸福真能弥补短暂的痛苦？一个真正的基督徒，不会轻易相信这种说法，因为连基督也曾经历过肉体与灵魂的苦难。面对孩子的苦痛，神甫选择不逃避。他宁可直面那份像十字架一样沉重的折磨。,Chapter4,,reviewed,2026-08-18T16:44:56+00:00,2026-08-18T16:44:56+00:00,
01a017ef-4070-76bd-b43f-dca36f4689b7,01a017db-86df-731c-82b7-b45d82218b46,01a0156e-bb69-75d8-9889-54907fe1596f,“那么，丑是七宗罪之一了？”公爵夫人叫道，“你刚用兰花作喻又如何解释？”“丑是七宗美德之一，格拉迪丝。你，作为一个优秀的托利党人，一定不能低估它们。啤酒、《圣经》和七宗美才造就了现在的英国。”,Chapter17,,reviewed,2026-08-20T17:23:50+00:00,2026-08-20T17:23:50+00:00,
01a018b7-d35d-779b-ae31-e89a109935ad,01a018b6-f998-7104-9d02-e7e2a318d399,01a018b5-fa92-7642-ac15-6dc232b7303a,对十八岁那年的我来说，最欣赏的书是约翰·厄普代克的《马人》。但在反复阅读的时间里，它逐渐失去了最初的光彩，而把至高无上的地位让给了菲茨杰拉德的《了不起的盖茨比》。而且《了不起的盖茨比》对我始终是绝好的作品。兴之所至，我便习惯性地从书架中抽出《了不起的盖茨比》，信手翻开一页，读上一段，一次都没让我失望过，没有一页使人兴味索然。何等妙不可言的杰作！我真想把其中的妙处告诉别人，但环视四周，竟无一人读过《了不起的盖茨比》，甚至连想读的人都没有！在一九六八年，阅读菲茨杰拉德的作品，虽然算不得反动之举，但也终非值得提倡的行为。,Chapter3,,draft,2026-08-19T06:31:35+00:00,2026-08-19T06:31:35+00:00,
01a018bb-ffbb-7388-879a-b11a88e46185,01a01889-6cc0-75f9-8c09-0ae6392a3ab5,01a0156e-bb69-75d8-9889-54907fe1596f,仔细一想，这也是怪事。他们随心所欲地想何时来访就何时来，不管你是在烤舒芙蕾，在做焊接，在洗头发，还是在训练小白鼠，甚至是在思考二次函数，他们毫不体恤，照样按门铃或敲门，笑嘻嘻地劝诱：“咱们一起来学《圣经》好吗？”他们可以只管找上门来，但别人（恐怕只要不做信徒）就不能自由地去找他们，连问个简单的问题都不行。要说不方便，也真够不方便的。,Chapter16,,draft,2026-08-19T06:36:09+00:00,2026-08-19T06:36:09+00:00,
01a018df-c773-72aa-8dd8-7db2246595e4,01a01888-9625-716a-96fb-d8331f462545,01a018df-05f2-71ae-a076-a02610b6dfa8,我拉开第四罐米勒海雷夫罐装啤酒的易拉环，把啤酒递给她。“对于自己的人生你是怎样考虑的？”女孩问。她并不把啤酒罐送往嘴边，只是凝目注视罐顶的小孔。“读过《卡拉马佐夫兄弟》？”我问。“读过。很早以前读过一次。”“劝你再读一次。书里写了好多事情。小说快结束时，阿辽沙对一个叫郭立亚·克拉索托金的年轻学生这样说道：‘喂，郭立亚，你将来将成为非常不幸的人。不过作为总体，还是要为人生祝福。’”,Chapter39,,draft,2026-08-19T07:15:13+00:00,2026-08-19T07:15:13+00:00,
